jdate,date,EPTFUS,LASBOR,LASCIN,LASNOC,LASSEM,MYOLUC,NYCHUM,PERSUB,NOID
180,20210629,7,,42,8,2,,,,10
181,20210630,,,26,5,1,,,1,6
182,20210701,,,4,,,,,,4
183,20210702,2,,16,4,3,,,,6
184,20210703,,,,,,,,,0
185,20210704,12,,34,13,,1,,1,20
186,20210705,1,1,57,9,3,,1,,25
187,20210706,9,2,13,2,2,,,,12
188,20210707,4,,16,3,1,1,,,6
189,20210708,1,,8,3,2,1,,,16
190,20210709,,,9,1,,,,,5
191,20210710,,,12,4,,,,,9
192,20210711,4,,18,3,2,,,,6
193,20210712,3,,13,3,,,,,7
194,20210713,2,,15,1,,1,,1,10
195,20210714,,,16,4,1,,,,9
196,20210715,2,,27,11,,1,,1,13
197,20210716,4,,21,8,,,,,12
198,20210717,1,,210,2,,,,,42
199,20210718,1,,25,3,7,,1,,14
200,20210719,2,,55,8,,,1,,40
201,20210720,5,,70,16,12,1,,1,33
202,20210721,2,,18,6,8,,,1,24
203,20210722,,,29,3,2,,,1,12
204,20210723,4,1,24,9,7,2,,1,22
205,20210724,1,,26,2,2,,,,9
206,20210725,42,1,33,31,2,1,,1,74
207,20210726,7,,22,13,2,1,,,10
208,20210727,9,,73,37,7,3,,2,44
209,20210728,21,,37,17,3,,,,40
210,20210729,17,,74,27,1,2,1,2,49
211,20210730,20,1,36,21,11,2,3,,36
212,20210731,16,,38,23,1,1,2,4,26
213,20210801,11,,6,13,,,,1,15
214,20210802,12,1,17,6,4,1,1,3,15
215,20210803,58,,57,13,5,1,,3,41
216,20210804,29,,15,10,4,1,,2,25
217,20210805,53,,55,32,5,2,,1,66
218,20210806,93,,48,44,5,,1,1,81
219,20210807,39,,17,17,,,,2,32
220,20210808,397,,32,98,3,2,1,2,193
221,20210809,437,,20,66,1,1,,6,182
222,20210810,10,,,5,,,,,13
223,20210811,305,,9,179,,,,,322
224,20210812,71,,2,17,1,3,,2,48
225,20210813,4,,,1,,,,,2
226,20210814,34,,5,15,2,6,,2,34
227,20210815,28,1,4,10,1,,,,20
228,20210816,23,,,17,2,,1,,20
229,20210817,19,,6,5,,,,1,10
230,20210818,14,,5,8,1,,,,16
231,20210819,4,1,2,1,,,,,6
232,20210820,7,,,3,,,,,7
233,20210821,2,,3,2,,,,,9
234,20210822,3,,1,4,,,,,16
235,20210823,2,,2,1,,,,,9
236,20210824,6,,13,10,6,,,1,18
237,20210825,6,,4,3,,1,,,11
240,20210828,7,,105,3,1,,,,30
241,20210829,2,,3,2,2,1,,,12
242,20210830,11,,5,3,2,,,1,15
243,20210831,7,,2,3,,,,,1
244,20210901,,,1,2,2,4,1,2,10
245,20210902,,,14,10,4,,,,12
246,20210903,1,,9,3,6,,,,12
247,20210904,1,,1,3,4,,,,11
248,20210905,2,,1,,,,,,1
249,20210906,2,,6,5,1,,1,,8
250,20210907,5,,8,11,3,,1,3,13
251,20210908,6,,5,8,,1,,1,12
252,20210909,5,,6,8,20,2,2,5,36
253,20210910,,,19,11,4,,,,6
254,20210911,2,,18,10,7,,1,1,15
255,20210912,6,,14,16,1,,,,17
256,20210913,1,,9,8,1,,,1,9
257,20210914,1,,5,5,1,,,,12
258,20210915,,,16,1,,,,,6
259,20210916,,,1,1,,,,,4
260,20210917,,,3,1,,,,,3
261,20210918,,,8,2,,,,,0
262,20210919,,,11,1,1,1,,,1
263,20210920,1,,13,8,,,,,11
264,20210921,5,,5,3,1,,,,5
265,20210922,,,,,,2,,,3
266,20210923,,,7,1,1,1,,,1
267,20210924,,,,2,2,,1,,1
268,20210925,,,4,12,6,2,5,1,16
269,20210926,,,5,14,2,,1,1,7