jdate,date,EPTFUS,LASBOR,LASCIN,LASNOC,LASSEM,MYOLUC,MYOSOD,NYCHUM,PERSUB,NOID,site
245,20210902,13,1,12,20,23,,,2,7,41,505
246,20210903,3,1,8,16,13,3,,3,8,34,505
247,20210904,17,1,4,5,10,2,,,2,27,505
248,20210905,216,,34,11,,,,,,30,505
249,20210906,40,1,10,14,9,8,,3,10,48,505
245,20210902,17,1,8,15,20,1,,,6,41,1676
246,20210903,42,2,7,19,20,5,,1,1,36,1676
247,20210904,201,1,30,3,1,1,,3,3,51,1676
248,20210905,154,,2,10,1,2,,3,3,25,1676
249,20210906,105,,10,13,11,4,,,1,32,1676
250,20210907,167,1,18,17,16,4,,1,2,85,1676
245,20210902,36,1,21,27,43,2,,6,5,94,4604
246,20210903,21,,10,25,49,3,,4,5,71,4604
247,20210904,208,,12,76,44,,1,16,11,237,4604
248,20210905,390,,2,72,5,,,,2,111,4604
249,20210906,400,,12,53,73,4,,48,15,267,4604
250,20210907,1009,2,4,295,23,1,,10,2,433,4604
251,20210908,1287,,1,69,2,,,,4,122,4604
252,20210909,280,2,50,73,76,,,9,5,163,4604
245,20210902,3,,18,19,22,1,,6,4,38,4614
246,20210903,3,,8,8,12,2,,2,2,33,4614
247,20210904,5,,3,1,,,,,3,9,4614
248,20210905,9,,4,2,,,,,,13,4614
249,20210906,8,,5,8,6,4,,4,5,20,4614
250,20210907,21,,3,3,,2,,,4,12,4614
251,20210908,17,,5,,,,,,,11,4614
252,20210909,5,,27,16,18,1,,4,10,45,4614
245,20210902,11,,36,41,40,2,,5,1,77,4672
246,20210903,6,2,11,20,42,4,,2,1,51,4672
247,20210904,361,1,36,155,7,1,,1,1,359,4672
248,20210905,314,,7,93,1,,,,,111,4672
249,20210906,110,,24,76,23,1,,3,4,114,4672
250,20210907,279,1,12,174,18,5,,3,6,208,4672
251,20210908,676,1,13,148,3,3,,2,1,287,4672
252,20210909,28,,24,72,36,2,,1,2,83,4672
245,20210902,24,1,31,30,46,1,,4,4,75,4608
246,20210903,1,,10,16,34,,,3,4,45,4608
247,20210904,38,2,12,31,20,1,,4,1,58,4608
248,20210905,117,,25,18,1,,,,,27,4608
249,20210906,169,1,9,46,24,1,,1,1,99,4608
250,20210907,262,,5,77,21,1,,11,6,142,4608
251,20210908,198,,4,6,1,,,2,3,50,4608
252,20210909,11,2,9,32,47,2,,1,6,74,4608
245,20210902,10,,10,11,11,1,,1,6,39,2207
246,20210903,8,,11,11,10,1,,,2,22,2207
247,20210904,34,1,11,3,10,2,,3,9,29,2207
248,20210905,78,,8,5,,2,,,,15,2207
249,20210906,47,,20,9,8,,,,4,29,2207
250,20210907,115,2,9,5,21,2,,1,10,46,2207
251,20210908,525,,5,23,2,1,,,4,64,2207
252,20210909,33,1,13,18,13,1,,3,13,43,2207
245,20210902,3,1,1,17,14,2,,4,6,39,2198
246,20210903,3,,5,10,18,3,,1,4,30,2198
247,20210904,43,2,16,5,2,5,,2,7,34,2198
248,20210905,9,,,2,,,,,,4,2198
249,20210906,3,1,3,3,4,2,,1,1,24,2198
250,20210907,14,1,2,,2,1,,,2,15,2198
251,20210908,103,1,10,7,,,,,,21,2198
245,20210902,10,,12,16,22,3,,,13,37,1708
246,20210903,6,,6,7,22,2,,2,7,39,1708
247,20210904,14,3,2,1,6,11,,2,23,32,1708
248,20210905,42,1,,2,,2,,,5,13,1708
249,20210906,50,1,2,6,4,10,,2,15,43,1708
250,20210907,90,,11,2,5,2,,1,16,33,1708
251,20210908,150,,,4,,,,,3,12,1708
252,20210909,27,3,6,8,9,7,,1,14,48,1708