jdate,date,EPTFUS,LASBOR,LASCIN,LASNOC,LASSEM,MYOLUC,MYOSEP,MYOSOD,NYCHUM,PERSUB,NOID,site,stand.age,age.class
250,20210907,1,,2,,,1,,,,,2,0505,54,2
251,20210908,,,3,,,,,,,,0,0505,54,2
252,20210909,3,,15,2,,,,,,,10,0505,54,2
253,20210910,3,,11,,,,,,,1,6,0505,54,2
254,20210911,,,3,,,,,,,,4,0505,54,2
255,20210912,2,,1,1,,,,,,,2,0505,54,2
256,20210913,5,,2,,,,,,,,1,0505,54,2
257,20210914,2,,2,,,,,,,,1,0505,54,2
258,20210915,1,,2,,,,,,,,0,0505,54,2
250,20210907,,,,,,,,,,,0,1633,18,1
251,20210908,,,,,,,,,,,3,1633,18,1
252,20210909,,,,,,,,,,,1,1633,18,1
253,20210910,,,,,,,,,,,0,1633,18,1
254,20210911,,,,,,,,,,,1,1633,18,1
255,20210912,,,,,,,,,,,1,1633,18,1
256,20210913,1,,1,1,,,,,,,4,1633,18,1
257,20210914,,,2,,,,,,,,1,1633,18,1
258,20210915,,,,,,,,,,,2,1633,18,1
250,20210907,,1,1,,2,,,,3,,14,1804,80,3
251,20210908,,,,,,,,,1,1,2,1804,80,3
252,20210909,,,6,,,,,,,,0,1804,80,3
253,20210910,,,,,,,,,,1,1,1804,80,3
254,20210911,,2,,,,2,,,2,2,12,1804,80,3
255,20210912,,,,,,,,,1,,15,1804,80,3
256,20210913,,,,,,,,,,2,2,1804,80,3
257,20210914,,,1,,,,,,,1,2,1804,80,3
258,20210915,,,,,,,,,,3,1,1804,80,3
250,20210907,,,,,,1,,,,,1,4455,144,5
251,20210908,,,,,,,,,,,0,4455,144,5
252,20210909,1,,1,,,,,1,,,1,4455,144,5
253,20210910,,,2,,,,,,1,,0,4455,144,5
254,20210911,,,2,,,,,,,,1,4455,144,5
255,20210912,,,,,,,,,,,1,4455,144,5
256,20210913,,,,,,1,,,,,0,4455,144,5
257,20210914,,,,,,,,,,,2,4455,144,5
258,20210915,,,,,,1,,,,,0,4455,144,5
250,20210907,,,,2,1,1,,,1,,19,4659,286,6
251,20210908,1,,1,,,,,,,,2,4659,286,6
252,20210909,2,,2,2,,,,,1,3,6,4659,286,6
253,20210910,,1,2,2,1,1,,,,,9,4659,286,6
254,20210911,1,,,1,1,1,,,1,,6,4659,286,6
255,20210912,3,,,,2,,,,,1,6,4659,286,6
256,20210913,1,,,1,,1,,,,3,3,4659,286,6
257,20210914,2,,,,,,,,,,1,4659,286,6
258,20210915,7,,,,1,5,,,1,1,8,4659,286,6
250,20210907,12,,3,1,,,,,,,5,4704,125,4
251,20210908,12,,,,,,,,,,6,4704,125,4
252,20210909,9,,2,3,,1,,,,,10,4704,125,4
253,20210910,11,,1,,,,,,,,0,4704,125,4
254,20210911,8,,,,,,,,,,4,4704,125,4
255,20210912,17,,,,,,,,,,9,4704,125,4
256,20210913,2,,2,,,,,,,1,0,4704,125,4
257,20210914,2,,1,,,,,,,,2,4704,125,4
258,20210915,5,,2,,,,,,,,2,4704,125,4