DATE.12,Side,Pass,exp
20210728,W,243,0
20210729,W,294,0
20210728,E,264,0
20210729,E,195,0
20210722,W,51,0
20210723,W,51,0
20210724,W,164,0
20210725,W,214,0
20210726,W,210,0
20210727,W,278,0
20210722,E,50,0
20210723,E,104,0
20210724,E,385,0
20210725,E,728,0
20210717,W,140,0
20210717,E,199,0
20210718,E,35,1
20210719,E,336,1
20210718,W,43,1
20210719,W,237,1
20210720,W,174,1
20210721,W,51,1
20210720,E,794,1
20210721,E,186,1
20210730,W,182,1
20210731,W,136,1
20210730,E,159,1
20210731,E,107,1
20210801,E,57,1
20210802,E,58,1
20210803,E,161,1
20210804,E,125,1
20210801,W,177,1
20210802,W,136,1
20210803,W,501,1
20210804,W,245,1