round,date,jdate,site,variety,plot,row,insect.names,no.p_s,no.chew,no.n_e,no.other,insect.rich,calc.ab,insect.ab,observers,notes
3,8/16/21,228,W,59,2,a,"8 whitefly, 1 fleahopper, 2 thrips, 1 spider, 1 black gnat, 2 grasshopper, 1 spotted cucumber leaf beetle, 1 stink bug, 1 cloverworm",12,4,1,1,9,18,18,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,19,2,a,"1 whitefly, 12 thrips, 2 cloverworm, 1 cricket",13,2,0,1,4,16,16,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,57,2,a,"9 thrips, 2 spider, 1 dangler caterpillar, 1 whitefly, 1 spotted cucumber leaf beetle",10,2,2,0,5,14,14,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,58,2,a,"5 whitefly, 1 black gnat, 3 thrips, 2 PLH, 1 grasshopper, 2 aphid",12,1,0,1,6,14,14,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,19,2,b,"7 thrips, 2 flea beetle, 3 whitefly, 1 pirate bug",10,2,1,0,4,13,13,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,58,2,b,"3 grasshopper, 4 spider, 2 thrips, 1 spider, 1 black gnat, 1 stink bug, 1 flea beetle",3,4,5,1,7,13,13,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,59,2,b,"2 leafhopper, 4 whitefly, 2 spider, 1 dangler caterpillar, 1 leaf edge roller caterpillar, 1 cloverworm, 1 thrips",7,3,2,0,7,12,12,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,57,2,b,"3 spotted cucumber beetle, 3 thrips, 1 lady beetle larva, 1 fleahopper, 1 stinkbug, 1 spider",5,3,2,0,6,10,10,"Brendan, Kelsey, Grace",
3,8/17/21,229,C,58,2,b,"9 whitefly, 1 spider, 1 pirate bug, 2 duskywing, 1 ladybeetle, 1 bean leaf beetle, 3 pirate bug, 64 early instar white tussock",9,67,6,0,8,82,82,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,59,2,a,"1 garden flea hopper, 1 black gnat, 9 whitefly, 5 thrips, 1 ant, 3 pirate bug",15,0,4,1,6,20,20,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,58,2,a,"3 duskywing, 3 whitefly, 1 ant, 1 aphid, 2 pirate bug, 3 thrips, 1 cloverworm, 2 black gnat, 1 beetle larva, 1 sweat bee",7,4,4,3,10,18,18,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,57,2,a,"4 whitefly, 3 green cloverworm, 1 bean leaf beetle, 1 damselbug, 1 PLH, 1 pirate bug, 1 spider, 1 ant, 1 leaf roller caterpillar, 2 duskywing",5,7,4,0,10,16,16,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,19,2,a,"2 spider, 4 pirate bug, 1 whitefly, 3 thrips, 1 duskywing, 1 black gnat, 1 leafhopper, 1 assassin bug",5,1,7,1,8,14,14,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,57,2,b,"1 damselbug, 1 whitefly, 1 PLH, 1 pirate bug, 2 black gnat, 1 thrips, 2 cloverworm",3,2,2,2,7,9,9,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,19,2,b,"1 damselbug, 1 black gnat, 2 aphid, 1 garden fleahopper, 2 pirate bug",3,0,3,1,5,7,7,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,82,2,b,"5 whitefly, 1 pirate bug, 1 thrips",6,0,1,0,3,7,7,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,82,2,a,"1 garden fleahopper, 1 whitefly, 1 cloverworm, 1 pirate bug, 1 duskywing, ",2,2,1,0,5,5,5,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,59,2,b,"2 whitefly, 2 thrips",4,0,0,0,2,4,4,"Kennedy, Kelsey, Brendan, Sarah",
4,9/22/21,265,W,57,2,b,"1 whitefly, 1 PLH, 4 thrips, 1 blackhead leaf gluer caterpillar, 119 aphid",125,1,0,0,5,126,126,"Kelsey, Brendan ",
4,9/22/21,265,W,58,2,a,"55 aphid, 1 beetle larva, 1 thrips, 1 bean leaf beetle",56,1,1,0,4,58,58,"Kelsey, Brendan ",
4,9/22/21,265,W,19,2,b,"47 aphid, 1 black gnat, 1 leaf tip fold caterpillar, 2 spider, 2 thrips, 1 whitefly",50,1,2,1,6,54,54,"Kelsey, Brendan ",
4,9/22/21,265,W,82,2,a,"37 green stink bug nymph, 1 brown assassin bug, 1 whitefly, 1 stilt bug, 1 tree cricket, 1 bean leaf beetle",38,1,2,1,6,42,42,"Kelsey, Brendan ",
4,9/22/21,265,W,58,2,b,"2 katydid, 1 whitefly, 1 thrip, 1 grass fly, 29 aphid",31,2,0,0,5,33,33,"Kelsey, Brendan ",
4,9/22/21,265,W,59,2,b,"16 aphid, 2 green stink bug nymph, 1 whitefly, 1 housefly",19,0,0,1,4,20,20,"Kelsey, Brendan ",
4,9/22/21,265,W,82,2,b,"1 thrips, 10 aphid, 3 green stink bug nymph, 1 whitefly, 1 firefly",15,0,1,0,5,16,16,"Kelsey, Brendan ",
4,9/22/21,265,W,57,2,a,"10 aphid, 1 spider, 1 picturewing fly",11,0,1,0,3,12,12,"Kelsey, Brendan ",
4,9/22/21,265,W,19,2,a,"5 aphid, 1 little lightning bug, 1 garden fleahopper, 2 spider, 1 katydid",6,1,3,0,5,10,10,"Kelsey, Brendan ",
4,9/22/21,265,W,59,2,a,"3 green stink bug nymph, 1 spider, 1 whitefly, 1 duskywing, 1 green cloverworm, 1 brown stink bug",5,2,1,0,6,8,8,"Kelsey, Brendan ",
4,9/28/21,271,C,59,2,b,none,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Kelsey,outside row
4,9/28/21,271,C,82,2,a,"520 aphid, 1 pirate bug, 2 thrips, 2 ants, 1 spider",522,0,4,0,5,526,526,Kelsey,
4,9/28/21,271,C,19,2,a,"4 spider, 1 black gnat, 50 aphid, 2 salt marsh caterpillar, 1 bean leaf beetle, 2 lightning bug, 1 big eyed bug",50,3,7,1,7,61,61,Kelsey,
4,9/28/21,271,C,59,2,a,"25 aphid, 2 whitefly, 1 spider, 1 flowerfly, 1 leaffold caterpillar",27,1,1,1,5,30,30,Kelsey,
4,9/28/21,271,C,19,2,b,"20 aphid, 3 thrips",23,0,0,0,2,23,23,Kelsey,
4,9/28/21,271,C,58,2,b,"3 spider, 1 cutworm, 5 aphid, 1 soybean looper",5,2,3,0,4,10,10,Kelsey,
4,9/28/21,271,C,57,2,b,"1 damselbug, 1 leaffold caterpillar, 2 lady beetle, 3 beetle larvae",0,1,6,0,4,7,7,Kelsey,
4,9/28/21,271,C,58,2,a,"1 spider, 1 black gnat, 5 aphid ",5,0,1,1,3,7,7,Kelsey,
4,9/28/21,271,C,57,2,a,"1 lady beetle, 1 leaffold caterpillar, 1 longleg fly, 1 brown stink bug, 1 duskywing, 1 whitefly",2,2,2,0,6,6,6,Kelsey,
4,9/28/21,271,C,82,2,b,1 spotted cucumber leaf beetle ,0,1,0,0,1,1,1,Kelsey,
1,7/6/21,187,W,19,3,b,"14 leafhopper, 1 thrips",15,0,0,0,2,15,15,"Brendan, Kelsey",
1,7/6/21,187,W,58,3,a,"2 spider, 1 fleahopper, 1 black gnat, 8 thrips, 2 PLH",11,0,2,1,5,14,14,"Brendan, Kelsey",
1,7/6/21,187,W,57,3,a,"5 pirate bug, 2 thrips, 2 PLH, 1 black gnat",4,0,5,1,4,10,10,"Brendan, Kelsey",
1,7/6/21,187,W,57,3,b,"7 PLH, 1 lady beetle",7,0,1,0,2,8,8,"Brendan, Kelsey",
1,7/6/21,187,W,19,3,a,"2 PLH, 3 thrips, 1 pirate bug, 1 leaffold caterpillar",5,1,1,0,4,7,7,"Brendan, Kelsey",
1,7/6/21,187,W,59,3,a,"1 PLH, 2 pirate bug, 1 beige nymph, 2 thrips, 2 black gnat",4,0,2,2,5,8,7,"Brendan, Kelsey",
1,7/6/21,187,W,58,3,b,"4 PLH, 1 black gnat, 1 thrips",5,0,0,1,3,6,6,"Brendan, Kelsey",
1,7/6/21,187,W,59,3,b,2 pirate bug ,0,0,2,0,1,2,2,"Brendan, Kelsey",
1,7/6/21,187,W,82,3,b,"1 thrips, 1 tiny leaf fold caterpillar",1,1,0,0,2,2,2,"Brendan, Kelsey",
1,7/6/21,187,W,82,3,a,1 pirate bug,0,0,1,0,1,1,1,"Brendan, Kelsey",
1,7/8/21,189,C,59,3,a,"12 thrips, 3 pirate bug, 3 PLH",15,0,3,0,3,18,18,"Brendan, Kelsey",
1,7/8/21,189,C,57,3,b,"4 slugs, 10 ants",0,4,10,0,2,14,14,"Brendan, Kelsey",
1,7/8/21,189,C,58,3,b,"7 slugs, 1 spider, 4 ants",0,7,5,0,3,12,12,"Brendan, Kelsey",
1,7/8/21,189,C,59,3,b,"5 thrips, 6 black gnats, 1 black ground beetle",5,0,1,6,3,12,12,"Brendan, Kelsey",
1,7/8/21,189,C,19,3,a,"1 black gnat, 9 thrips, 1 ant, 1 spider egg silk",9,0,1,1,4,11,11,"Brendan, Kelsey",
1,7/8/21,189,C,19,3,b,"2 spider, 1 slug, 1 beige beetle?",0,1,3,0,3,4,4,"Brendan, Kelsey",
1,7/8/21,189,C,82,3,a,"3 thrips, 1 pirate bug",3,0,1,0,2,4,4,"Brendan, Kelsey",
1,7/8/21,189,C,82,3,b,"1 spider, 1 black beetle, 1 slug",0,1,2,0,3,3,3,"Brendan, Kelsey",
1,7/8/21,189,C,57,3,a,2 thrips,2,0,0,0,1,2,2,"Brendan, Kelsey",
1,7/8/21,189,C,58,3,a,"1 pirate bug, 1 thrips",1,0,1,0,2,2,2,"Brendan, Kelsey",
2,7/27/21,208,W,82,3,a,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Brendan, Kelsey, Lauren",
2,7/27/21,208,W,82,3,b,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Brendan, Kelsey, Lauren",
2,7/27/21,208,W,58,3,a,"1 big eyed bug, 1 bumblebee, 2 pirate bug, 3 thrips, 2 small round black beetles, 1 dragonfly, 3 fleahoppers, 2 cloverworm, 5 gnats",7,2,4,7,9,20,20,"Brendan, Kelsey, Lauren",
2,7/27/21,208,W,59,3,a,"~30 stinkbug eggs, 6 pirate bug, 2 thrips, 4 fleahopper, 1 spider, 1 cloverworm, 5 black gnats",6,1,7,5,7,19,19,"Brendan, Kelsey, Lauren",
2,7/27/21,208,W,58,3,b,"1 pupa, 3 spiders, 1 fleahopper, 8 PLH, 1 dectes beetle, 2 black gnats, 1 leaffold caterpillar",9,1,3,3,7,16,16,"Brendan, Kelsey, Lauren",yellowing-virus?
2,7/27/21,208,W,57,3,a,"5 black gnats, 1 spider, 1 fleahopper, 1 PLH, 3 thrips, 1 hairy caterpillar, 1 dectes beetle, 1 flowerfly",5,1,1,7,8,14,14,"Brendan, Kelsey, Lauren",
2,7/27/21,208,W,19,3,b,"4 pirate bug, 5 black gnat, 1 leaffold caterpillar, 1 spider, 1 cloverworm",0,2,5,5,5,12,12,"Brendan, Kelsey, Lauren",
2,7/27/21,208,W,57,3,b,"1 harlequin bug?, 1 bee, 1 flea beetle, 2 PLH, 3 pirate bug, 3 spiders, 1 katydid",4,2,6,0,7,12,12,"Brendan, Kelsey, Lauren",
2,7/27/21,208,W,59,3,b,"2 spiders, 1 pirate bug, 3 PLH, 5 black gnats, 1 ladybeetle larva",3,0,4,5,5,12,12,"Brendan, Kelsey, Lauren",
2,7/27/21,208,W,19,3,a,"1 reduvid?, 1 spider, 1 pirate bug, 1 fleahopper, 2 thrips, 1 PLH",4,0,3,0,6,7,7,"Brendan, Kelsey, Lauren",
2,7/28/21,209,C,57,3,b,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Brendan, Kelsey",
2,7/28/21,209,C,58,3,b,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Brendan, Kelsey",
2,7/28/21,209,C,82,3,a,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Brendan, Kelsey",
2,7/28/21,209,C,82,3,b,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Brendan, Kelsey",
2,7/28/21,209,C,59,3,b,"43 ants, 2 black gnat, 4 whitefly, 75 aphids, 40 thrips, 2 priate bug, 1 armyworm",119,1,45,2,7,167,167,"Brendan, Kelsey",
2,7/28/21,209,C,59,3,a,"26 thrips, 1 spider, 1 black aphid, 3 whitefly, 1 PLH, 1 damselbug, 2 tiny pale caterpillar, 10 pirate bug, 9 ant, 1 black gnat, 1 fleahopper, 1 lep egg",32,2,21,1,12,56,56,"Brendan, Kelsey",
2,7/28/21,209,C,19,3,a,"7 thrips, 2 spider, 6 ants, 1 black aphid, 13 whitefly, 3 pirate bug, 1 PLH, 1 lep egg",22,0,11,0,7,33,33,"Brendan, Kelsey",
2,7/28/21,209,C,19,3,b,"17 thrips, 7 green aphid, 2 pirate bug, 2 black gnat",24,0,2,2,4,28,28,"Brendan, Kelsey",
2,7/28/21,209,C,57,3,a,"2 black aphid, 19 thrips, 1 ants, 3 pirate bug, 1 lep egg",21,0,4,0,5,25,25,"Brendan, Kelsey",
2,7/28/21,209,C,58,3,a,"1 aphid, 1 pirate bug, 1 whitefly, 2 ant, 18 thrips, 1 lep egg",20,0,3,0,6,23,23,"Brendan, Kelsey",
3,8/16/21,228,W,57,3,a,"1 spider, 12 whitefly, 3 cloverworm, 2 PLH, 5 thrips, 1 fleahopper, 2 pirate bug, 2 black gnat, 1 katydid",20,4,3,2,9,29,29,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,58,3,a,"2 thrips, 2 spider, 2 whitefly, 1 newly hatched bigeyed bug, 2 black gnats, 1 crane fly, 13 stink bugs, 1 PLH, 1 damselbug, 1 leaftip fold caterpillar, 1 duskywing, 2 green stink bug",20,2,4,3,12,29,29,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,82,3,b,"3 thrips, 16 whitefly, 2 spider, 4 PLH, 1 tarnished plant bug, 1 black gnat, 1 katydid, 1 pirate bug",24,1,3,1,8,29,29,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,19,3,b,"3 fleahopper, 10 whitefly, 6 thrips, 2 aphid, 3 cloverworm, 1 duskywing, 1 spotted cucumber leaf beetle, 1 assassin bug, 1 pirate bug",21,5,2,0,9,28,28,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,19,3,a,"14 whitefly, 1 fleahopper, 7 thrips, 1 cloverworm, 1 spider, 1 spotted cucumber leaf beetle, 1 katydid",22,3,1,0,7,26,26,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,82,3,a,"11 whitefly, 2 thrips, 1 lacewing, 1 PLH, 1 assassin bug, 1 japanese beetle, 2 pirate bug, 1 fleahopper, 1 spider",15,1,5,0,9,21,21,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,58,3,b,"3 black gnat, 8 whitefly, 1 fleahopper, 4 thrips",13,0,0,3,4,16,16,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,57,3,b,"10 whitefly, 2 thrips, 1 black gnat, 1 cloverworm, 1 garden fleahopper",13,1,0,1,6,15,15,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,59,3,a,"2 cloverworm, 1 spider, 7 whitefly, 1 fleahopper, 1 thrips, 1 bigeyed bug, 2 pirate bug",9,2,4,0,7,15,15,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,59,3,b,"2 spider, 4 whitefly, 1 black gnat, 1 pirate bug, 1 damselbug, 1 buckeye butterfly",4,0,4,2,6,10,10,"Brendan, Kelsey, Grace",
3,8/17/21,229,C,82,3,a,"6 pirate bug, 1 black gnat, 2 ladybeetle, 1 spotted cucumber leaf beetle, 2 thrips, 2 spider, 3 whitefly, 1 black winged aphid, 1 longleg fly, 1 cloverworm",6,2,11,1,10,20,20,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,19,3,a,"1 green cloverworm, 1 damselbug, 3 aphid, 6 whitefly, 3 thrips, 2 PLH, 1 duskywing, 1 pirate bug",14,2,2,0,8,18,18,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,19,3,b,"2 pirate bug, 1 spider, 10 thrips, 1 black gnat, 1 grasshopper",10,1,3,1,5,15,15,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,59,3,b,"5 pirate bug, 4 whitefly, 2 black gnat, 1 thrips, 1 ladybeetle",5,0,6,2,5,13,13,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,58,3,a,"1 longleg fly, 2 whitefly, 1 black gnat, 5 pirate bug, 2 duskywing, 1 thrips",3,2,6,1,6,12,12,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,59,3,a,"1 pirate bug, 1 spider, 2 beetle larvae, 1 white fly, 1 black gnat, 4 thrips, 1 click beetle",5,0,4,2,7,11,11,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,58,3,b,"1 pirate bug, 3 whitefly, 1 aphid, 2 garden fleahopper, 3 thrips",9,0,1,0,5,10,10,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,82,3,b,"2 pirate bug, 3 black gnat, 2 whitefly, 1 spider, 1 spotted cucumber leaf beetle",2,1,3,3,5,9,9,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,57,3,b,"2 pirate bug, 1 black gnat, 1 beetle larva, 2 aphid, 1 thrips",3,0,3,1,5,7,7,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,57,3,a,"1 black gnat, 1 whitefly, 2 pirate bug, 1 PLH, 1 duskywing",2,1,2,1,5,6,6,"Kennedy, Kelsey, Brendan, Sarah",
4,9/22/21,265,W,57,3,b,"25 aphid, 1 wedgeling caterpillar, 2 green stink bug nymph, 1 brown assassin bug",27,1,1,0,4,29,29,"Kelsey, Brendan ",
4,9/22/21,265,W,58,3,b,"1 spider, 3 green stink bug nymph, 1 whitefly, 23 aphid, 1 tree cricket",27,0,1,1,5,29,29,"Kelsey, Brendan ",
4,9/22/21,265,W,57,3,a,"2 green stink bug, 2 whitefly, 1 black gnat, 5 aphid, 1 spider",9,0,1,1,5,11,11,"Kelsey, Brendan ",
4,9/22/21,265,W,59,3,a,"1 green stink bug nymph, 1 garden fleahopper, 3 whitefly, 1 spider, 5 aphid",10,0,1,0,5,11,11,"Kelsey, Brendan ",
4,9/22/21,265,W,82,3,a,"1 brown stinkbug, 1 brown stink bug nymph, 1 spider, 1 bigeyed bug nymph, 1 tarnished plant bug, 1 green plant hopper, 2 green stink bug nymph, 1 garden fleahopper, 1 big eyed bug, 1 longleg fly",7,0,4,0,10,11,11,"Kelsey, Brendan ",
4,9/22/21,265,W,19,3,b,"6 aphid, 3 spider, 1 whitefly",7,0,3,0,3,10,10,"Kelsey, Brendan ",
4,9/22/21,265,W,59,3,b,"6 green stink bug nymph, 2 whitefly, 1 katydid",8,1,0,0,2,9,9,"Kelsey, Brendan ",
4,9/22/21,265,W,82,3,b,"3 aphid, 2 green stink bug nymph, 1 whitefly, 3 spider",6,0,3,0,4,9,9,"Kelsey, Brendan ",
4,9/22/21,265,W,58,3,a,"4 green stink bug nymph, 1 mosquito",4,0,0,1,2,5,5,"Kelsey, Brendan ",
4,9/22/21,265,W,19,3,a,"1 green stink bug nymph, 1 brown stink bug",2,0,0,0,2,2,2,"Kelsey, Brendan ",
4,9/28/21,271,C,57,3,b,none,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Kelsey,outside row
4,9/28/21,271,C,19,3,b,"35 aphid, 1 spider, 1 brown stink bug nymph, 1 pirate bug, 1 longleg fly, 1 garden fleahopper",37,0,3,0,6,40,40,Kelsey,
4,9/28/21,271,C,57,3,a,"1 green stink bug, 1 mexican beetle, 1 brown stink bug, 1 spined assassin bug, 20 aphid, 1 beetle larva, 1 bean leaf beetle",22,2,2,0,7,26,26,Kelsey,
4,9/28/21,271,C,59,3,a,"3 whitefly, 1 thrips, 1 spider, 1 brown stink bug, 20 aphid",25,0,1,0,5,26,26,Kelsey,
4,9/28/21,271,C,19,3,a,"1 leaf gluer caterpillar, 3 spider, 10 aphid, 2 whitefly, 1 longleg fly, 1 tussock caterpillar",12,2,4,0,6,18,18,Kelsey,
4,9/28/21,271,C,59,3,b,"2 spider, 5 aphid, 1 green stink bug nymph, 2 whitefly, 1 lady beetle, 1 garden fleahopper, 1 duskywing",9,1,3,0,7,13,13,Kelsey,
4,9/28/21,271,C,82,3,a,"2 leaffold caterpillar, 1 beetle larva, 1 pirate bug nymph, 2 garden fleahopper, 1 grasshopper, 1 bean leaf beetle, 2 whitefly, 1 brown stink bug, 1 damselbug",5,4,3,0,9,12,12,Kelsey,
4,9/28/21,271,C,58,3,a,"1 spider, 1 lep pupa, 1 thrips, 5 aphid",6,0,1,0,4,7,7,Kelsey,
4,9/28/21,271,C,58,3,b,none,0,0,0,0,0,0,0,Kelsey,
4,9/28/21,271,C,82,3,b,none,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Kelsey,outside row