jdate,max.temp.c,min.temp.c,precip
1,9.49,-0.8,0.89
2,11.16,-2.1,0.02
3,10.83,7.6,0.34
4,13.09,7.4,0
5,7.46,-0.87,0
6,11.79,0.23,0
7,8.29,-1.67,0
8,7.68,0.1,0
9,2.92,-4.27,0
10,12.66,-0.34,0
11,20.13,11.43,0
12,20.06,7.36,0
13,10.16,2.9,0
14,8.93,2.7,0
15,12.56,6.06,0.34
16,12.66,2.46,0.08
17,2.8,-5.06,0
18,5.6,-4.87,0
19,7.2,-2.2,0
20,1.26,-3.94,0.02
21,1.39,-5.56,0
22,3.35,-7,0
23,5.29,-6.09,0
24,13.85,-2.87,0
25,10.79,3.5,0.07
26,10.59,2.2,0.05
27,10.63,0.13,0
28,6.4,3.63,0
29,6.65,-2.14,0
30,4.89,-3.47,0
31,8.59,-2.54,0.62
32,9.16,-1.74,0.33
33,9,2.86,0.04
34,17.26,-0.77,0
35,18.53,9.19,0
36,13.53,3.3,0.06
37,10.67,3.03,0
38,14.26,1.83,0.69
39,6.62,-1.57,0
40,8.92,-2.64,0
41,9.6,4.66,0.2
42,11.46,8.49,0.33
43,8.9,3.63,0
44,12.76,3.56,0.4
45,5.7,-4.1,0.03
46,1.02,-8.6,0.03
47,9.29,-2.04,0.66
48,11.42,1.93,0
49,14.89,2.46,0.6
50,10.36,2.03,0.17
51,3.66,-1.54,0
52,1.59,-5.13,0
53,9.86,-3.8,0.78
54,12.76,-4.27,0
55,12.86,0.19,0
56,11.16,7.43,0
57,11.13,7.56,0.1
58,9.36,0.26,0.32
59,8.49,0.36,0.81
60,3.2,-1.33,0.34
61,7.79,-1.94,0
62,17.69,1.36,0
63,15.86,4.76,0
64,15.96,6.5,0
65,10.63,1.96,0
66,6.23,0.86,0
67,8.96,-1.47,0
68,13.86,-2.4,0
69,19.6,5.03,0
70,19.33,12.56,0
71,13.26,5.3,0
72,14.86,5.26,0
73,23.03,9.62,0
74,13.36,5.43,0
75,11.13,3.63,0
76,12.76,-0.17,0.01
77,15.73,3.96,0.95
78,13.69,4.16,0.01
79,18.46,7.63,0
80,26.07,13.29,0
81,19.2,7.26,0
82,11.26,1.49,0
83,8.66,4.3,1.92
84,11.73,2.03,0
85,9.23,5.23,0.01
86,14.23,0.8,0
87,17.9,9.39,0.59
88,13.53,9.42,0
89,17.5,9.42,0
90,20.6,6.97,0.96
91,12.73,4.7,0.13
92,12.49,4.43,0
93,15.76,5.9,0
94,15.69,8.6,0
95,13.66,8.83,0
96,18.53,10.03,0
97,19.03,7.73,0
98,20.06,8.9,0
99,24.71,10.37,0.14
100,21.67,7.67,0
101,10.83,5.46,0.65
102,15.66,5.16,0
103,21.46,3.73,0
104,23.67,12.73,0.27
105,14.29,6.2,0.01
106,11.13,2.5,0
107,11.96,2.8,0
108,13.99,0.37,0
109,11.53,2.36,0.15
110,17,1.23,0.01
111,14.89,8.3,0.15
112,19.16,6.87,0
113,14.69,3.5,0
114,15.63,5.47,0.47
115,12.13,9.86,0.67
116,19.16,7.33,0
117,13.79,9,0
118,13.89,6.56,0
119,15.16,5.23,0.01
120,24.81,10.03,0
121,22.84,13.46,0
122,19.1,12.4,0
123,21,11,0.01
124,23.1,14.9,0.29
125,23.3,12.7,0.05
126,14.5,8.2,0
127,11.2,7.1,0.4
128,18.1,7,0.25
129,19.8,5.2,0
130,10.9,2.8,0
131,16.5,5.2,0
132,17.2,7.9,0
133,15.8,6.2,0
134,19.2,5,0
135,21.3,6.9,0
136,27.9,17.7,0
137,27,14.8,0
138,19.9,11.8,0
139,19.1,12.6,0
140,19.7,11.6,0
141,15.7,8,0
142,21.7,7.7,0
143,24.5,13.8,0
144,26.7,16.6,0.07
145,18.9,13.2,0.02
146,22.4,13.9,0.35
147,24,13.2,0
148,26.6,15.1,0.66
149,27.9,21,1.35
150,28.9,21.9,0.19
151,27.2,17.4,0
152,22.7,12.2,0
153,21.4,9.4,0
154,22.1,15.4,0.22
155,30.6,20.4,0
156,31.4,20,0
157,29.8,20.4,0
158,29.9,21,0
159,26.1,16.2,0.04
160,25.6,13.6,0
161,30.4,14.6,0.25
162,30.8,23.6,0.5
163,27.9,21.6,0
164,29.1,19.1,0
165,24.7,15.9,0.82
166,24.8,14.2,0.37
167,25,13.8,0
168,24.5,15,0
169,20.8,16.3,0
170,27.4,18.3,0
171,28.8,17.4,0.03
172,22.9,18.7,0
173,28.6,18,0.25
174,31.2,20.5,0
175,30.8,20.5,0
176,28.4,21.7,0
177,19.7,18.1,0.07
178,29.7,17.6,0
179,31.3,22.8,0
180,30.6,22.4,0
181,30.9,21.8,0
182,29.9,21.1,0.44
183,28.7,20.3,0.28
184,30.5,19,0.13
185,33.1,21,0
186,30.9,21.2,0
187,31.6,23.5,0
188,25,20.4,0
189,30.5,20.2,0.21
190,31.2,23.2,0.75
191,31.3,22.2,0
192,28.5,23.2,0
193,30.5,24.2,0
194,31.1,19.9,0
195,29.5,20.9,0.22
196,29.5,20.2,0
197,31.2,19.7,0
198,29.3,19.9,0.14
199,32,21.4,0
200,32.7,23.2,0
201,34,21.9,0
202,34,26.1,0.31
203,34.3,23,0
204,32.8,22.6,0
205,31.6,22.5,0
206,29.9,22.2,0
207,31.8,21.2,0
208,33,24.3,0
209,33.3,23.5,0.11
210,33.3,26,0.01
211,32.2,24.2,0
212,33.4,22.8,0
213,24.9,22.6,0.76
214,30.5,21.2,0
215,32.7,24.4,0
216,29.8,21.3,0
217,29,20.3,0
218,29.6,20.2,0
219,28.7,20.5,0.29
220,29.6,20.5,0
221,28.4,20.5,0
222,30.7,20.7,0.33
223,32,23.7,0.07
224,31.4,23.5,0
225,31.9,22.5,0.18
226,26.5,21.9,0.2
227,29.7,21,0.22
228,25.2,19.8,0.28
229,22.3,19.3,0.01
230,27.5,17.2,0.03
231,28.4,19.1,0
232,26.5,18.6,3.49
233,27.8,17.6,0
234,28,17.8,0.19
235,28.3,22,0.16
236,30.3,21.9,0
237,30.7,23.6,0
238,31.6,23.7,0
239,28.7,19.7,0.34
240,32.3,24.1,0.03
241,32.1,23,0
242,28.2,21.9,0
243,27.1,18.6,0
244,25.3,17.7,0.81
245,28.2,18.6,0
246,30.2,21.4,0
247,31.3,22,0
248,30.8,21.2,0.04
249,25.9,16.7,0.6
250,27.5,15.6,0
251,27.6,15.2,0
252,29.5,17,0.79
253,26.8,20,0
254,28.5,23.2,0
255,26.3,20.9,0
256,24.4,15.7,0
257,26.6,15.4,0
258,24.7,15.2,
259,20.1,10.9,
260,22.6,9.7,
261,23.6,16.8,
262,22.1,14,
263,18.4,8.3,
264,19.7,7,
265,19.9,7.7,
266,21.5,6.6,
267,24.7,12.5,
268,20.8,14.1,
269,20.6,14.6,
270,23.6,15.6,
271,25.4,19.1,
272,27,19.1,
273,25.6,14.8,
274,21.2,13.5,
275,23,12.8,
276,19.8,10.1,
277,18.4,8.2,
278,20.4,6.4,
279,19.9,9.6,
280,21,8.6,
281,24.9,13.8,
282,20.8,10,
283,20.8,8.1,
284,22,13.3,
285,21.8,17.7,
286,18.5,15.2,
287,18.5,11.8,
288,21.8,8.7,
289,23.2,13.5,
290,20.1,9.2,
291,15.7,5.2,
292,19.8,4,
293,22.7,9.1,
294,22.1,13.7,
295,25.4,16.2,
296,25.8,14.4,
297,23.8,15.3,
298,24.3,13.5,
299,13.5,6.7,
300,16.3,9.5,
301,17.1,14.1,
302,20.9,14.6,
303,19.1,10,
304,11,6.1,
305,9.7,3.1,
306,14.2,3.4,
307,9.5,3.7,
308,16,5.5,
309,18.6,3.6,
310,20,7.5,
311,20.5,8.5,
312,20.8,7.7,
313,22.7,7.1,
314,22.3,8.9,
315,24,11.2,
316,20.9,17.7,
317,19.7,8.5,
318,14.2,7.7,
319,13.9,3.8,
320,19.5,3.7,
321,15.1,6.1,
322,14.3,4,
323,7.3,-1.2,
324,10,-2.2,
325,16.2,7.4,
326,19.2,5.8,
327,16,9.7,
328,14.4,5.3,
329,9.9,3.7,
330,16.1,4,
331,19.8,8.7,
332,15.4,9.3,
333,15.3,4.2,
334,12.8,0.1,
335,20.2,9,