"","jdate","site","hour","activity"
"1",245,"0505",0,11
"2",246,"0505",0,13
"3",247,"0505",0,7
"4",248,"0505",0,6
"5",249,"0505",0,12
"6",255,"0505",0,234
"7",256,"0505",0,196
"8",257,"0505",0,213
"9",258,"0505",0,21
"10",259,"0505",0,7
"11",260,"0505",0,11
"12",261,"0505",0,6
"13",262,"0505",0,15
"14",263,"0505",0,13
"15",264,"0505",0,167
"16",265,"0505",0,13
"17",266,"0505",0,6
"18",245,"1676",0,12
"19",246,"1676",0,25
"20",247,"1676",0,2
"21",249,"1676",0,7
"22",250,"1676",0,2
"23",251,"1676",0,2
"24",252,"1676",0,5
"25",259,"1676",0,10
"26",260,"1676",0,27
"27",261,"1676",0,23
"28",262,"1676",0,18
"29",263,"1676",0,2
"30",264,"1676",0,15
"31",265,"1676",0,1
"32",266,"1676",0,6
"33",238,"1708",0,1
"34",239,"1708",0,4
"35",240,"1708",0,6
"36",241,"1708",0,13
"37",242,"1708",0,10
"38",243,"1708",0,5
"39",267,"1708",0,63
"40",268,"1708",0,4
"41",269,"1708",0,7
"42",270,"1708",0,161
"43",238,"2198",0,3
"44",239,"2198",0,8
"45",240,"2198",0,6
"46",241,"2198",0,5
"47",242,"2198",0,6
"48",243,"2198",0,1
"49",267,"2198",0,6
"50",268,"2198",0,8
"51",269,"2198",0,18
"52",270,"2198",0,22
"53",239,"2207",0,2
"54",240,"2207",0,4
"55",241,"2207",0,7
"56",242,"2207",0,9
"57",263,"2207",0,19
"58",264,"2207",0,194
"59",265,"2207",0,10
"60",266,"2207",0,9
"61",245,"4604",0,9
"62",246,"4604",0,7
"63",247,"4604",0,95
"64",248,"4604",0,8
"65",249,"4604",0,9
"66",250,"4604",0,42
"67",255,"4604",0,8
"68",256,"4604",0,8
"69",257,"4604",0,2
"70",258,"4604",0,7
"71",259,"4604",0,1
"72",260,"4604",0,2
"73",261,"4604",0,10
"74",262,"4604",0,8
"75",263,"4604",0,5
"76",264,"4604",0,132
"77",265,"4604",0,1
"78",266,"4604",0,6
"79",239,"4608",0,94
"80",240,"4608",0,14
"81",241,"4608",0,32
"82",242,"4608",0,96
"83",243,"4608",0,2
"84",267,"4608",0,4
"85",268,"4608",0,4
"86",269,"4608",0,11
"87",270,"4608",0,165
"88",245,"4614",0,14
"89",246,"4614",0,20
"90",247,"4614",0,196
"91",248,"4614",0,15
"92",249,"4614",0,21
"93",250,"4614",0,62
"94",251,"4614",0,159
"95",252,"4614",0,35
"96",255,"4614",0,57
"97",256,"4614",0,41
"98",257,"4614",0,73
"99",258,"4614",0,15
"100",259,"4614",0,7
"101",260,"4614",0,9
"102",261,"4614",0,2
"103",262,"4614",0,8
"104",267,"4614",0,4
"105",268,"4614",0,8
"106",269,"4614",0,12
"107",270,"4614",0,73
"108",239,"4655",0,26
"109",240,"4655",0,7
"110",241,"4655",0,5
"111",242,"4655",0,6
"112",243,"4655",0,2
"113",263,"4655",0,2
"114",264,"4655",0,14
"115",266,"4655",0,5
"116",245,"4672",0,20
"117",246,"4672",0,18
"118",247,"4672",0,105
"119",248,"4672",0,23
"120",249,"4672",0,84
"121",250,"4672",0,160
"122",251,"4672",0,227
"123",252,"4672",0,46
"124",255,"4672",0,153
"125",256,"4672",0,90
"126",257,"4672",0,117
"127",258,"4672",0,104
"128",259,"4672",0,16
"129",260,"4672",0,12
"130",261,"4672",0,219
"131",262,"4672",0,10
"132",267,"4672",0,10
"133",268,"4672",0,7
"134",269,"4672",0,13
"135",270,"4672",0,12
"136",245,"0505",1,16
"137",246,"0505",1,9
"138",247,"0505",1,7
"139",248,"0505",1,19
"140",249,"0505",1,9
"141",255,"0505",1,234
"142",256,"0505",1,199
"143",257,"0505",1,107
"144",258,"0505",1,27
"145",259,"0505",1,18
"146",260,"0505",1,12
"147",261,"0505",1,18
"148",262,"0505",1,13
"149",263,"0505",1,4
"150",264,"0505",1,212
"151",265,"0505",1,1
"152",266,"0505",1,12
"153",245,"1676",1,5
"154",246,"1676",1,8
"155",247,"1676",1,1
"156",248,"1676",1,8
"157",249,"1676",1,1
"158",250,"1676",1,3
"159",251,"1676",1,4
"160",252,"1676",1,7
"161",259,"1676",1,6
"162",260,"1676",1,8
"163",261,"1676",1,6
"164",262,"1676",1,6
"165",263,"1676",1,3
"166",264,"1676",1,89
"167",266,"1676",1,8
"168",239,"1708",1,11
"169",240,"1708",1,3
"170",241,"1708",1,4
"171",242,"1708",1,8
"172",243,"1708",1,3
"173",244,"1708",1,1
"174",267,"1708",1,6
"175",268,"1708",1,9
"176",269,"1708",1,5
"177",270,"1708",1,199
"178",238,"2198",1,1
"179",239,"2198",1,6
"180",240,"2198",1,26
"181",241,"2198",1,7
"182",242,"2198",1,9
"183",243,"2198",1,1
"184",267,"2198",1,3
"185",268,"2198",1,9
"186",269,"2198",1,2
"187",270,"2198",1,7
"188",238,"2207",1,2
"189",239,"2207",1,6
"190",240,"2207",1,2
"191",241,"2207",1,9
"192",242,"2207",1,9
"193",243,"2207",1,2
"194",263,"2207",1,8
"195",264,"2207",1,225
"196",265,"2207",1,30
"197",266,"2207",1,6
"198",245,"4604",1,13
"199",246,"4604",1,8
"200",247,"4604",1,32
"201",248,"4604",1,9
"202",249,"4604",1,13
"203",250,"4604",1,35
"204",255,"4604",1,7
"205",256,"4604",1,3
"206",257,"4604",1,6
"207",260,"4604",1,2
"208",261,"4604",1,5
"209",262,"4604",1,3
"210",263,"4604",1,9
"211",264,"4604",1,31
"212",266,"4604",1,9
"213",239,"4608",1,133
"214",240,"4608",1,5
"215",241,"4608",1,102
"216",242,"4608",1,114
"217",243,"4608",1,3
"218",267,"4608",1,5
"219",268,"4608",1,8
"220",269,"4608",1,4
"221",270,"4608",1,67
"222",245,"4614",1,12
"223",246,"4614",1,17
"224",247,"4614",1,124
"225",248,"4614",1,3
"226",249,"4614",1,12
"227",250,"4614",1,26
"228",251,"4614",1,147
"229",252,"4614",1,22
"230",255,"4614",1,32
"231",256,"4614",1,59
"232",257,"4614",1,99
"233",258,"4614",1,14
"234",259,"4614",1,10
"235",260,"4614",1,3
"236",261,"4614",1,4
"237",262,"4614",1,7
"238",267,"4614",1,3
"239",268,"4614",1,11
"240",269,"4614",1,2
"241",270,"4614",1,7
"242",239,"4655",1,26
"243",240,"4655",1,8
"244",241,"4655",1,9
"245",242,"4655",1,21
"246",243,"4655",1,78
"247",244,"4655",1,1
"248",263,"4655",1,7
"249",264,"4655",1,44
"250",266,"4655",1,7
"251",245,"4672",1,14
"252",246,"4672",1,24
"253",247,"4672",1,51
"254",248,"4672",1,3
"255",249,"4672",1,66
"256",250,"4672",1,114
"257",251,"4672",1,180
"258",252,"4672",1,28
"259",255,"4672",1,170
"260",256,"4672",1,206
"261",257,"4672",1,135
"262",258,"4672",1,19
"263",259,"4672",1,11
"264",260,"4672",1,12
"265",261,"4672",1,79
"266",262,"4672",1,8
"267",267,"4672",1,3
"268",268,"4672",1,9
"269",269,"4672",1,5
"270",270,"4672",1,9
"271",245,"0505",2,8
"272",246,"0505",2,9
"273",247,"0505",2,6
"274",248,"0505",2,7
"275",249,"0505",2,21
"276",255,"0505",2,234
"277",256,"0505",2,201
"278",257,"0505",2,118
"279",258,"0505",2,13
"280",259,"0505",2,22
"281",260,"0505",2,4
"282",261,"0505",2,17
"283",262,"0505",2,10
"284",263,"0505",2,11
"285",264,"0505",2,150
"286",265,"0505",2,4
"287",266,"0505",2,6
"288",245,"1676",2,10
"289",246,"1676",2,6
"290",247,"1676",2,2
"291",248,"1676",2,4
"292",249,"1676",2,12
"293",250,"1676",2,4
"294",251,"1676",2,1
"295",252,"1676",2,12
"296",259,"1676",2,28
"297",260,"1676",2,6
"298",261,"1676",2,8
"299",262,"1676",2,4
"300",263,"1676",2,7
"301",264,"1676",2,32
"302",265,"1676",2,2
"303",266,"1676",2,8
"304",238,"1708",2,2
"305",239,"1708",2,9
"306",240,"1708",2,6
"307",241,"1708",2,4
"308",242,"1708",2,17
"309",243,"1708",2,3
"310",267,"1708",2,7
"311",268,"1708",2,14
"312",269,"1708",2,9
"313",270,"1708",2,134
"314",238,"2198",2,2
"315",239,"2198",2,7
"316",240,"2198",2,9
"317",241,"2198",2,3
"318",242,"2198",2,1
"319",243,"2198",2,1
"320",267,"2198",2,6
"321",268,"2198",2,17
"322",269,"2198",2,4
"323",270,"2198",2,40
"324",238,"2207",2,4
"325",239,"2207",2,3
"326",240,"2207",2,2
"327",241,"2207",2,9
"328",242,"2207",2,3
"329",243,"2207",2,5
"330",244,"2207",2,4
"331",263,"2207",2,11
"332",264,"2207",2,160
"333",265,"2207",2,52
"334",266,"2207",2,5
"335",245,"4604",2,8
"336",246,"4604",2,10
"337",247,"4604",2,14
"338",248,"4604",2,12
"339",249,"4604",2,9
"340",250,"4604",2,29
"341",255,"4604",2,10
"342",257,"4604",2,4
"343",258,"4604",2,2
"344",259,"4604",2,2
"345",260,"4604",2,1
"346",261,"4604",2,3
"347",262,"4604",2,12
"348",263,"4604",2,30
"349",264,"4604",2,27
"350",265,"4604",2,62
"351",266,"4604",2,14
"352",239,"4608",2,134
"353",240,"4608",2,7
"354",241,"4608",2,38
"355",242,"4608",2,71
"356",243,"4608",2,8
"357",244,"4608",2,3
"358",267,"4608",2,5
"359",268,"4608",2,17
"360",269,"4608",2,6
"361",270,"4608",2,5
"362",245,"4614",2,17
"363",246,"4614",2,12
"364",247,"4614",2,12
"365",249,"4614",2,13
"366",250,"4614",2,20
"367",251,"4614",2,69
"368",252,"4614",2,32
"369",255,"4614",2,53
"370",256,"4614",2,19
"371",257,"4614",2,12
"372",258,"4614",2,36
"373",259,"4614",2,14
"374",260,"4614",2,11
"375",261,"4614",2,3
"376",262,"4614",2,9
"377",267,"4614",2,5
"378",268,"4614",2,27
"379",269,"4614",2,12
"380",270,"4614",2,3
"381",239,"4655",2,12
"382",240,"4655",2,4
"383",241,"4655",2,5
"384",242,"4655",2,7
"385",243,"4655",2,42
"386",263,"4655",2,5
"387",264,"4655",2,18
"388",266,"4655",2,7
"389",245,"4672",2,11
"390",246,"4672",2,28
"391",247,"4672",2,23
"392",248,"4672",2,20
"393",249,"4672",2,24
"394",250,"4672",2,127
"395",251,"4672",2,147
"396",252,"4672",2,56
"397",255,"4672",2,201
"398",256,"4672",2,238
"399",257,"4672",2,62
"400",258,"4672",2,26
"401",259,"4672",2,13
"402",260,"4672",2,8
"403",261,"4672",2,8
"404",262,"4672",2,15
"405",267,"4672",2,5
"406",268,"4672",2,13
"407",269,"4672",2,2
"408",270,"4672",2,65
"409",245,"0505",3,8
"410",246,"0505",3,11
"411",247,"0505",3,3
"412",249,"0505",3,3
"413",255,"0505",3,93
"414",256,"0505",3,175
"415",257,"0505",3,81
"416",258,"0505",3,15
"417",259,"0505",3,18
"418",260,"0505",3,4
"419",261,"0505",3,8
"420",262,"0505",3,12
"421",263,"0505",3,10
"422",264,"0505",3,135
"423",265,"0505",3,1
"424",266,"0505",3,13
"425",245,"1676",3,14
"426",246,"1676",3,8
"427",248,"1676",3,1
"428",249,"1676",3,4
"429",250,"1676",3,4
"430",251,"1676",3,2
"431",252,"1676",3,46
"432",259,"1676",3,11
"433",260,"1676",3,11
"434",261,"1676",3,5
"435",262,"1676",3,6
"436",263,"1676",3,9
"437",264,"1676",3,6
"438",265,"1676",3,2
"439",266,"1676",3,13
"440",238,"1708",3,7
"441",239,"1708",3,6
"442",240,"1708",3,10
"443",241,"1708",3,7
"444",242,"1708",3,13
"445",243,"1708",3,19
"446",267,"1708",3,6
"447",268,"1708",3,21
"448",269,"1708",3,7
"449",270,"1708",3,105
"450",238,"2198",3,5
"451",239,"2198",3,6
"452",240,"2198",3,6
"453",241,"2198",3,4
"454",242,"2198",3,2
"455",243,"2198",3,10
"456",244,"2198",3,1
"457",267,"2198",3,2
"458",268,"2198",3,19
"459",269,"2198",3,3
"460",270,"2198",3,39
"461",238,"2207",3,8
"462",239,"2207",3,6
"463",240,"2207",3,3
"464",241,"2207",3,10
"465",242,"2207",3,10
"466",243,"2207",3,13
"467",244,"2207",3,4
"468",263,"2207",3,5
"469",264,"2207",3,110
"470",265,"2207",3,6
"471",266,"2207",3,5
"472",245,"4604",3,6
"473",246,"4604",3,10
"474",247,"4604",3,6
"475",248,"4604",3,1
"476",249,"4604",3,3
"477",250,"4604",3,20
"478",255,"4604",3,14
"479",256,"4604",3,3
"480",257,"4604",3,3
"481",258,"4604",3,2
"482",259,"4604",3,11
"483",261,"4604",3,5
"484",262,"4604",3,9
"485",263,"4604",3,12
"486",264,"4604",3,16
"487",265,"4604",3,74
"488",266,"4604",3,9
"489",239,"4608",3,162
"490",240,"4608",3,3
"491",241,"4608",3,19
"492",242,"4608",3,66
"493",243,"4608",3,12
"494",244,"4608",3,7
"495",267,"4608",3,4
"496",268,"4608",3,11
"497",269,"4608",3,6
"498",270,"4608",3,4
"499",245,"4614",3,12
"500",246,"4614",3,11
"501",247,"4614",3,12
"502",249,"4614",3,5
"503",250,"4614",3,25
"504",251,"4614",3,41
"505",252,"4614",3,35
"506",255,"4614",3,15
"507",256,"4614",3,13
"508",257,"4614",3,8
"509",258,"4614",3,6
"510",259,"4614",3,12
"511",260,"4614",3,9
"512",261,"4614",3,5
"513",262,"4614",3,6
"514",267,"4614",3,4
"515",268,"4614",3,21
"516",269,"4614",3,5
"517",270,"4614",3,1
"518",239,"4655",3,33
"519",240,"4655",3,10
"520",241,"4655",3,3
"521",242,"4655",3,7
"522",243,"4655",3,10
"523",244,"4655",3,2
"524",263,"4655",3,9
"525",264,"4655",3,13
"526",265,"4655",3,1
"527",266,"4655",3,15
"528",245,"4672",3,22
"529",246,"4672",3,12
"530",247,"4672",3,15
"531",249,"4672",3,33
"532",250,"4672",3,142
"533",251,"4672",3,15
"534",252,"4672",3,44
"535",255,"4672",3,199
"536",256,"4672",3,98
"537",257,"4672",3,31
"538",258,"4672",3,17
"539",259,"4672",3,13
"540",260,"4672",3,4
"541",261,"4672",3,18
"542",262,"4672",3,13
"543",267,"4672",3,2
"544",268,"4672",3,17
"545",269,"4672",3,4
"546",270,"4672",3,7
"547",245,"0505",4,8
"548",246,"0505",4,3
"549",247,"0505",4,11
"550",249,"0505",4,4
"551",255,"0505",4,148
"552",256,"0505",4,79
"553",257,"0505",4,96
"554",258,"0505",4,17
"555",259,"0505",4,7
"556",260,"0505",4,11
"557",261,"0505",4,9
"558",262,"0505",4,16
"559",263,"0505",4,17
"560",264,"0505",4,100
"561",265,"0505",4,1
"562",266,"0505",4,4
"563",245,"1676",4,11
"564",246,"1676",4,5
"565",247,"1676",4,3
"566",248,"1676",4,1
"567",249,"1676",4,2
"568",250,"1676",4,3
"569",252,"1676",4,10
"570",259,"1676",4,6
"571",260,"1676",4,9
"572",261,"1676",4,5
"573",262,"1676",4,6
"574",263,"1676",4,5
"575",264,"1676",4,3
"576",266,"1676",4,10
"577",238,"1708",4,2
"578",239,"1708",4,10
"579",240,"1708",4,13
"580",241,"1708",4,15
"581",242,"1708",4,8
"582",243,"1708",4,6
"583",244,"1708",4,2
"584",267,"1708",4,3
"585",268,"1708",4,27
"586",269,"1708",4,6
"587",270,"1708",4,24
"588",238,"2198",4,5
"589",239,"2198",4,4
"590",240,"2198",4,1
"591",241,"2198",4,5
"592",242,"2198",4,5
"593",243,"2198",4,4
"594",244,"2198",4,8
"595",267,"2198",4,5
"596",268,"2198",4,11
"597",269,"2198",4,10
"598",270,"2198",4,23
"599",238,"2207",4,7
"600",239,"2207",4,19
"601",240,"2207",4,3
"602",241,"2207",4,18
"603",242,"2207",4,7
"604",243,"2207",4,11
"605",244,"2207",4,7
"606",263,"2207",4,7
"607",264,"2207",4,37
"608",266,"2207",4,7
"609",245,"4604",4,5
"610",246,"4604",4,11
"611",247,"4604",4,12
"612",248,"4604",4,1
"613",249,"4604",4,1
"614",250,"4604",4,7
"615",255,"4604",4,7
"616",256,"4604",4,2
"617",257,"4604",4,5
"618",258,"4604",4,1
"619",259,"4604",4,1
"620",261,"4604",4,2
"621",262,"4604",4,17
"622",263,"4604",4,10
"623",264,"4604",4,20
"624",265,"4604",4,4
"625",266,"4604",4,25
"626",239,"4608",4,159
"627",240,"4608",4,6
"628",241,"4608",4,19
"629",242,"4608",4,73
"630",243,"4608",4,4
"631",244,"4608",4,8
"632",267,"4608",4,5
"633",268,"4608",4,7
"634",269,"4608",4,4
"635",270,"4608",4,1
"636",245,"4614",4,17
"637",246,"4614",4,11
"638",247,"4614",4,22
"639",249,"4614",4,11
"640",250,"4614",4,15
"641",251,"4614",4,20
"642",252,"4614",4,18
"643",255,"4614",4,9
"644",256,"4614",4,8
"645",257,"4614",4,16
"646",258,"4614",4,7
"647",259,"4614",4,11
"648",260,"4614",4,4
"649",261,"4614",4,4
"650",262,"4614",4,5
"651",267,"4614",4,3
"652",268,"4614",4,17
"653",269,"4614",4,10
"654",270,"4614",4,6
"655",239,"4655",4,17
"656",240,"4655",4,3
"657",241,"4655",4,5
"658",242,"4655",4,9
"659",243,"4655",4,5
"660",244,"4655",4,35
"661",263,"4655",4,11
"662",264,"4655",4,9
"663",266,"4655",4,13
"664",245,"4672",4,17
"665",246,"4672",4,9
"666",247,"4672",4,25
"667",249,"4672",4,30
"668",250,"4672",4,206
"669",251,"4672",4,36
"670",252,"4672",4,43
"671",255,"4672",4,233
"672",256,"4672",4,53
"673",257,"4672",4,26
"674",258,"4672",4,9
"675",259,"4672",4,5
"676",260,"4672",4,11
"677",261,"4672",4,10
"678",262,"4672",4,17
"679",267,"4672",4,5
"680",268,"4672",4,20
"681",269,"4672",4,12
"682",270,"4672",4,4
"683",245,"0505",5,13
"684",246,"0505",5,12
"685",247,"0505",5,3
"686",248,"0505",5,4
"687",249,"0505",5,3
"688",255,"0505",5,18
"689",256,"0505",5,77
"690",257,"0505",5,45
"691",258,"0505",5,12
"692",259,"0505",5,49
"693",260,"0505",5,23
"694",261,"0505",5,10
"695",262,"0505",5,22
"696",263,"0505",5,16
"697",264,"0505",5,120
"698",265,"0505",5,1
"699",266,"0505",5,9
"700",245,"1676",5,14
"701",246,"1676",5,5
"702",247,"1676",5,2
"703",248,"1676",5,1
"704",249,"1676",5,9
"705",250,"1676",5,5
"706",251,"1676",5,4
"707",252,"1676",5,5
"708",259,"1676",5,19
"709",260,"1676",5,10
"710",261,"1676",5,3
"711",262,"1676",5,2
"712",263,"1676",5,5
"713",264,"1676",5,17
"714",265,"1676",5,1
"715",266,"1676",5,9
"716",238,"1708",5,7
"717",239,"1708",5,2
"718",240,"1708",5,14
"719",241,"1708",5,13
"720",242,"1708",5,5
"721",244,"1708",5,15
"722",267,"1708",5,10
"723",268,"1708",5,37
"724",269,"1708",5,1
"725",270,"1708",5,14
"726",238,"2198",5,3
"727",239,"2198",5,7
"728",241,"2198",5,9
"729",242,"2198",5,5
"730",244,"2198",5,6
"731",267,"2198",5,2
"732",268,"2198",5,13
"733",269,"2198",5,2
"734",270,"2198",5,19
"735",238,"2207",5,11
"736",239,"2207",5,16
"737",240,"2207",5,2
"738",241,"2207",5,7
"739",242,"2207",5,4
"740",243,"2207",5,3
"741",244,"2207",5,8
"742",263,"2207",5,11
"743",264,"2207",5,12
"744",265,"2207",5,2
"745",266,"2207",5,9
"746",245,"4604",5,13
"747",246,"4604",5,9
"748",247,"4604",5,13
"749",248,"4604",5,6
"750",249,"4604",5,4
"751",250,"4604",5,14
"752",255,"4604",5,18
"753",256,"4604",5,1
"754",257,"4604",5,10
"755",258,"4604",5,1
"756",259,"4604",5,1
"757",260,"4604",5,3
"758",261,"4604",5,7
"759",262,"4604",5,11
"760",263,"4604",5,15
"761",264,"4604",5,38
"762",266,"4604",5,10
"763",239,"4608",5,20
"764",241,"4608",5,6
"765",242,"4608",5,26
"766",244,"4608",5,6
"767",267,"4608",5,7
"768",268,"4608",5,16
"769",269,"4608",5,6
"770",270,"4608",5,6
"771",245,"4614",5,22
"772",246,"4614",5,8
"773",247,"4614",5,8
"774",249,"4614",5,3
"775",250,"4614",5,11
"776",251,"4614",5,7
"777",252,"4614",5,12
"778",255,"4614",5,16
"779",256,"4614",5,16
"780",257,"4614",5,26
"781",258,"4614",5,1
"782",259,"4614",5,7
"783",260,"4614",5,9
"784",261,"4614",5,8
"785",262,"4614",5,7
"786",267,"4614",5,5
"787",268,"4614",5,10
"788",269,"4614",5,4
"789",270,"4614",5,3
"790",239,"4655",5,17
"791",240,"4655",5,12
"792",241,"4655",5,4
"793",242,"4655",5,7
"794",243,"4655",5,9
"795",244,"4655",5,38
"796",263,"4655",5,11
"797",264,"4655",5,14
"798",266,"4655",5,12
"799",245,"4672",5,18
"800",246,"4672",5,13
"801",247,"4672",5,27
"802",248,"4672",5,1
"803",249,"4672",5,64
"804",250,"4672",5,197
"805",252,"4672",5,37
"806",255,"4672",5,61
"807",256,"4672",5,30
"808",257,"4672",5,31
"809",258,"4672",5,17
"810",259,"4672",5,17
"811",260,"4672",5,13
"812",261,"4672",5,7
"813",262,"4672",5,6
"814",267,"4672",5,4
"815",268,"4672",5,25
"816",269,"4672",5,20
"817",270,"4672",5,3
"818",247,"0505",6,3
"819",248,"0505",6,1
"820",249,"0505",6,1
"821",255,"0505",6,20
"822",256,"0505",6,42
"823",257,"0505",6,33
"824",258,"0505",6,20
"825",259,"0505",6,39
"826",260,"0505",6,12
"827",261,"0505",6,15
"828",262,"0505",6,32
"829",263,"0505",6,33
"830",264,"0505",6,105
"831",265,"0505",6,61
"832",266,"0505",6,6
"833",245,"1676",6,2
"834",246,"1676",6,2
"835",248,"1676",6,1
"836",249,"1676",6,2
"837",250,"1676",6,3
"838",251,"1676",6,3
"839",252,"1676",6,15
"840",259,"1676",6,62
