date,jdate,EPTFUS,LASBOR,LASCIN,LASNOC,LASSEM,MYOLUC,NYCHUM,PERSUB,TADBRA,NOID,side,treatment,trial
20210718,199,8,0,3,3,17,0,4,5,30,38,E,D,1
20210719,200,287,2,1,10,29,2,5,2,85,152,E,D,1
20210720,201,682,0,0,9,20,2,6,3,72,155,E,U,2
20210721,202,52,1,13,3,38,2,5,1,71,109,E,U,2
20210730,211,17,2,2,5,49,6,4,5,69,77,E,U,3
20210731,212,8,3,2,0,29,6,16,5,38,75,E,U,3
20210801,213,12,0,1,1,15,2,1,1,24,22,E,D,4
20210802,214,7,0,0,0,17,3,3,3,25,35,E,D,4
20210803,215,2,3,4,4,49,7,12,2,78,86,E,D,5
20210804,216,3,1,3,3,44,2,3,1,65,55,E,D,5
20210718,199,9,2,1,0,16,8,7,1,8,68,W,U,1
20210719,200,154,2,5,3,56,6,11,10,19,128,W,U,1
20210720,201,80,0,1,5,77,1,9,11,30,149,W,D,2
20210721,202,95,1,3,8,34,6,0,5,22,99,W,D,2
20210730,211,41,3,9,14,42,2,2,5,64,152,W,D,3
20210731,212,15,3,1,5,51,13,11,2,35,135,W,D,3
20210801,213,27,2,9,2,51,3,7,4,72,112,W,U,4
20210802,214,19,5,1,5,33,8,8,2,55,107,W,U,4
20210803,215,17,1,4,28,51,6,7,5,382,196,W,U,5
20210804,216,27,3,2,16,34,7,5,3,148,108,W,U,5
,,,,,,,,,,,,,,
20210718,199,9,,15,16,18,,4,5,,41,E,D,1
20210719,200,356,1,21,46,31,2,5,2,,111,E,D,1
20210720,201,699,,25,46,20,2,6,3,,148,E,U,2
20210721,202,59,1,38,31,39,2,5,1,,119,E,U,2
20210730,211,23,2,41,26,51,6,4,5,,78,E,U,3
20210731,212,15,3,21,11,29,6,16,5,,76,E,U,3
20210801,213,12,,12,5,14,2,1,1,,32,E,D,4
20210802,214,8,,12,12,18,3,3,3,,34,E,D,4
20210803,215,3,4,37,35,53,7,11,2,,95,E,D,5
20210804,216,7,1,42,27,45,2,3,1,,52,E,D,5
20210718,199,14,2,3,2,14,8,7,1,,69,W,U,1
20210719,200,166,2,8,8,57,6,11,10,,126,W,U,1
20210720,201,90,,6,29,75,1,9,11,,142,W,D,2
20210721,202,97,1,6,26,39,6,2,5,,91,W,D,2
20210730,211,40,3,25,63,48,2,2,5,,146,W,D,3
20210731,212,19,3,15,31,51,13,11,2,,126,W,D,3
20210801,213,46,3,19,39,57,3,7,4,,111,W,U,4
20210802,214,20,5,11,41,36,8,8,2,,112,W,U,4
20210803,215,20,2,60,280,52,6,7,5,,265,W,U,5
20210804,216,27,4,14,121,36,7,5,3,,136,W,U,5